Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_Stage,Experiment,Generation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,pcb_dosage,Platform,population,ReleaseDate,Sample Name,source_name,SRA Study
SRR12475447,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2656616451,PRJNA658029,SAMN15856659,1160819562,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969417,F1,GSM4731957,Illumina HiSeq 1000,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,GSM4731957,"stage 35\, whole embryo",SRP278069
SRR12475448,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,3616296559,PRJNA658029,SAMN15856658,1479725091,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969418,F1,GSM4731958,Illumina HiSeq 1000,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,GSM4731958,"stage 35\, whole embryo",SRP278069
SRR12475449,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,2867924570,PRJNA658029,SAMN15856656,1221509228,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969419,F1,GSM4731959,Illumina HiSeq 1000,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,GSM4731959,"stage 35\, whole embryo",SRP278069
SRR12475450,RNA-Seq,Fundulus_heteroclitus-3.0.2,196,4030635282,PRJNA658029,SAMN15856655,1614690583,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969420,F1,GSM4731960,Illumina HiSeq 1000,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,GSM4731960,"stage 35\, whole embryo",SRP278069
SRR12475451,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2470263207,PRJNA658029,SAMN15856652,1110504588,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969421,F1,GSM4731961,Illumina HiSeq 1000,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,GSM4731961,"stage 35\, whole embryo",SRP278069
SRR12475452,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2826543773,PRJNA658029,SAMN15856650,1216458183,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969422,F1,GSM4731962,Illumina HiSeq 1000,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,GSM4731962,"stage 35\, whole embryo",SRP278069
SRR12475453,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,2896917359,PRJNA658029,SAMN15856649,1242815003,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969423,F1,GSM4731963,Illumina HiSeq 1000,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,GSM4731963,"stage 35\, whole embryo",SRP278069
SRR12475454,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2919772742,PRJNA658029,SAMN15856647,1244667251,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969424,F1,GSM4731964,Illumina HiSeq 1000,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,2000,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,GSM4731964,"stage 35\, whole embryo",SRP278069
SRR12475455,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,4014679436,PRJNA658029,SAMN15856646,1642583041,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969425,F1,GSM4731965,Illumina HiSeq 1000,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,2000,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,GSM4731965,"stage 35\, whole embryo",SRP278069
SRR12475456,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2913852919,PRJNA658029,SAMN15856644,1260952970,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969426,F1,GSM4731966,Illumina HiSeq 1000,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,2000,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,GSM4731966,"stage 35\, whole embryo",SRP278069
